Employee_Name,Employee_ID,Salary,Performance,Hiring_Date,Department_ID
Krishna Sharma,0001-D05,683500,Meets_Expectations,25-Sep-2022,D05
Aditya Sharma,0002-D02,475800,Meets_Expectations,14-Jan-2023,D02
Siddharth Nair,0003-D01,730200,Above_Expectations,10-Oct-2021,D01
Reyansh Gupta,0004-D07,1001400,Below_Expectation,31-Mar-2022,D07
Sai Desai,0005-D05,1217600,Above_Expectations,31-Mar-2021,D05
Sai Patel,0006-D02,1808500,Meets_Expectations,29-Dec-2020,D02
Arjun Mehta,0007-D03,755200,Meets_Expectations,31-Mar-2024,D03
Kiara Menon,0008-D01,454600,Meets_Expectations,12-May-2024,D01
Rahul Singh,0009-D08,1747700,Meets_Expectations,18-May-2026,D08
Siddharth Mukherjee,0010-D07,626400,Meets_Expectations,14-Jan-2025,D07
Ananya Mukherjee,0011-D02,1972200,Meets_Expectations,31-Jan-2026,D02
Krishna Desai,0012-D05,1284900,Above_Expectations,26-Jan-2026,D05
Priya Joshi,0013-D03,547100,Meets_Expectations,19-Sep-2019,D03
Vikram Kumar,0014-D01,1960900,Meets_Expectations,13-Jun-2021,D01
Myra Verma,0015-D04,610700,Above_Expectations,03-Aug-2026,D04
Ishaan Rao,0016-D08,840000,Exceptional,18-Jan-2024,D08
Saanvi Iyer,0017-D07,1424400,Exceptional,16-Oct-2021,D07
Vivaan Shah,0018-D04,470100,Meets_Expectations,15-Sep-2021,D04
Arjun Joshi,0019-D04,1745700,Meets_Expectations,21-Apr-2023,D04
Myra Bose,0020-D07,551700,Meets_Expectations,10-Aug-2018,D07
Reyansh Verma,0021-D07,642000,Above_Expectations,14-Feb-2021,D07
Manoj Patel,0022-D02,604900,Meets_Expectations,14-Jun-2026,D02
Myra Kumar,0023-D07,814000,Meets_Expectations,19-May-2022,D07
Priya Das,0024-D05,1790100,Meets_Expectations,30-Jan-2024,D05
Vihaan Menon,0025-D01,1620500,Below_Expectation,25-Nov-2018,D01
Diya Gupta,0026-D02,889100,Above_Expectations,12-Jun-2018,D02
Harsh Gupta,0027-D07,1328200,Above_Expectations,10-Jun-2022,D07
Ishaan Iyer,0028-D08,573700,Meets_Expectations,12-Jan-2024,D08
Aadhya Joshi,0029-D05,1190100,Meets_Expectations,04-Feb-2024,D05
Pooja Mehta,0030-D01,1108500,Above_Expectations,15-Mar-2019,D01
Nikhil Rao,0031-D05,735400,Meets_Expectations,25-Jun-2023,D05
Priya Verma,0032-D02,1007700,Above_Expectations,24-Oct-2019,D02
Deepak Desai,0033-D07,595400,Meets_Expectations,21-Feb-2022,D07
Siddharth Desai,0034-D03,488200,Meets_Expectations,05-Jan-2022,D03
Aadhya Patel,0035-D02,1487400,Meets_Expectations,28-Oct-2019,D02
Diya Mukherjee,0036-D01,1112900,Meets_Expectations,13-Oct-2020,D01
Neha Kumar,0037-D02,442500,Meets_Expectations,04-Jun-2021,D02
Kiara Patel,0038-D01,1743000,Above_Expectations,12-Mar-2025,D01
Riya Chatterjee,0039-D06,795700,Exceptional,06-Jun-2018,D06
Reyansh Mehta,0040-D07,1207400,Meets_Expectations,18-Feb-2020,D07
Sanjay Sharma,0041-D04,598500,Meets_Expectations,26-May-2019,D04
Pooja Joshi,0042-D05,1231000,Above_Expectations,02-Apr-2022,D05
Diya Mehta,0043-D05,441700,Meets_Expectations,12-Aug-2021,D05
Manoj Das,0044-D08,2178700,Above_Expectations,08-Mar-2021,D08
Riya Mehta,0045-D06,688000,Below_Expectation,29-Sep-2020,D06
Meera Mehta,0046-D02,755700,Meets_Expectations,17-Sep-2025,D02
Aarav Reddy,0047-D07,1777300,Meets_Expectations,19-Mar-2023,D07
Isha Desai,0048-D06,2549000,Exceptional,23-Feb-2024,D06
Deepak Kumar,0049-D08,743700,Meets_Expectations,06-Sep-2020,D08
Neha Das,0050-D02,885800,Above_Expectations,05-Aug-2020,D02
Suresh Rao,0051-D04,1236300,Below_Expectation,15-May-2022,D04
Siddharth Sharma,0052-D07,1109300,Meets_Expectations,14-Jan-2024,D07
Tanvi Mehta,0053-D04,858900,Meets_Expectations,15-Jul-2022,D04
Ananya Das,0054-D03,570100,Exceptional,22-Oct-2022,D03
Ishaan Das,0055-D03,1235800,Below_Expectation,13-Feb-2021,D03
Anil Nair,0056-D02,451100,Meets_Expectations,23-Apr-2025,D02
Myra Singh,0057-D01,888400,Above_Expectations,05-Nov-2025,D01
Priya Pillai,0058-D03,630700,Above_Expectations,01-Jul-2021,D03
Varun Chatterjee,0059-D07,952800,Exceptional,31-Aug-2026,D07
Krishna Shah,0060-D01,1344500,Meets_Expectations,17-Sep-2022,D01
